2026-02-01 21:48:23,166 | ALERT | {'timestamp': '2026-02-01T21:48:23.166368', 'type': 'Suspicious Startup Service', 'severity': 'HIGH', 'details': 'Suspicious startup service detected: TestBadService (TestBadService) | Path: C:\\Users\\parth\\AppData\\Local\\Temp\\fake_service.exe'}
2026-02-01 21:48:23,495 | ALERT | {'timestamp': '2026-02-01T21:48:23.495060', 'type': 'Unknown Process', 'severity': 'LOW', 'details': 'Unknown process detected: system idle process | Path:'}
2026-02-01 21:48:23,495 | ALERT | {'timestamp': '2026-02-01T21:48:23.495525', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: code.exe | Path: c:\\users\\parth\\appdata\\local\\programs\\microsoft vs code\\code.exe'}
2026-02-01 21:48:23,495 | ALERT | {'timestamp': '2026-02-01T21:48:23.495675', 'type': 'Unknown Process', 'severity': 'LOW', 'details': 'Unknown process detected: memcompression | Path:memcompression'}
2026-02-01 21:48:23,495 | ALERT | {'timestamp': '2026-02-01T21:48:23.495769', 'type': 'Unknown Process', 'severity': 'LOW', 'details': 'Unknown process detected: copilot.exe | Path:c:\\program files\\windowsapps\\microsoft.copilot_1.25121.81.0_x64__8wekyb3d8bbwe\\copilot.exe'}
2026-02-01 21:48:23,495 | ALERT | {'timestamp': '2026-02-01T21:48:23.495831', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: code.exe | Path: c:\\users\\parth\\appdata\\local\\programs\\microsoft vs code\\code.exe'}
2026-02-01 21:48:23,495 | ALERT | {'timestamp': '2026-02-01T21:48:23.495890', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: code.exe | Path: c:\\users\\parth\\appdata\\local\\programs\\microsoft vs code\\code.exe'}
2026-02-01 21:48:23,495 | ALERT | {'timestamp': '2026-02-01T21:48:23.495940', 'type': 'Unknown Process', 'severity': 'LOW', 'details': 'Unknown process detected: dashost.exe | Path:c:\\windows\\system32\\dashost.exe'}
2026-02-01 21:48:23,496 | ALERT | {'timestamp': '2026-02-01T21:48:23.496011', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: code.exe | Path: c:\\users\\parth\\appdata\\local\\programs\\microsoft vs code\\code.exe'}
2026-02-01 21:48:23,496 | ALERT | {'timestamp': '2026-02-01T21:48:23.496070', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: code.exe | Path: c:\\users\\parth\\appdata\\local\\programs\\microsoft vs code\\code.exe'}
2026-02-01 21:48:23,496 | ALERT | {'timestamp': '2026-02-01T21:48:23.496133', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: code.exe | Path: c:\\users\\parth\\appdata\\local\\programs\\microsoft vs code\\code.exe'}
2026-02-01 21:48:23,496 | ALERT | {'timestamp': '2026-02-01T21:48:23.496186', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: python.exe | Path: c:\\users\\parth\\appdata\\local\\python\\pythoncore-3.14-64\\python.exe'}
2026-02-01 21:48:23,496 | ALERT | {'timestamp': '2026-02-01T21:48:23.496281', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: code.exe | Path: c:\\users\\parth\\appdata\\local\\programs\\microsoft vs code\\code.exe'}
2026-02-01 21:48:23,496 | ALERT | {'timestamp': '2026-02-01T21:48:23.496365', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: python.exe | Path: c:\\users\\parth\\appdata\\local\\python\\pythoncore-3.14-64\\python.exe'}
2026-02-01 21:48:23,496 | ALERT | {'timestamp': '2026-02-01T21:48:23.496405', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: code.exe | Path: c:\\users\\parth\\appdata\\local\\programs\\microsoft vs code\\code.exe'}
2026-02-01 21:48:23,496 | ALERT | {'timestamp': '2026-02-01T21:48:23.496443', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: filecoauth.exe | Path: c:\\users\\parth\\appdata\\local\\microsoft\\onedrive\\25.243.1211.0001\\filecoauth.exe'}
2026-02-01 21:48:23,496 | ALERT | {'timestamp': '2026-02-01T21:48:23.496630', 'type': 'Unknown Process', 'severity': 'LOW', 'details': 'Unknown process detected: useroobebroker.exe | Path:c:\\windows\\system32\\oobe\\useroobebroker.exe'}
2026-02-01 21:48:23,496 | ALERT | {'timestamp': '2026-02-01T21:48:23.496702', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: code.exe | Path: c:\\users\\parth\\appdata\\local\\programs\\microsoft vs code\\code.exe'}
2026-02-01 21:48:23,496 | ALERT | {'timestamp': '2026-02-01T21:48:23.496753', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: code.exe | Path: c:\\users\\parth\\appdata\\local\\programs\\microsoft vs code\\code.exe'}
2026-02-01 21:48:23,496 | ALERT | {'timestamp': '2026-02-01T21:48:23.496785', 'type': 'Suspicious Process Path', 'severity': 'HIGH', 'details': 'Process running from suspicious path: python.exe | Path: c:\\users\\parth\\appdata\\local\\python\\pythoncore-3.14-64\\python.exe'}
